COD;MUNI;cv_bcg;prop_populacao_com_renda_menosqmeio_SM;prop_populacao_pobreza_extrema;Renda_media_domic_per_capita;Taxa_de_analfabetismo;Taxa_de_desemprego_16a_emais;PIB_per_capita;Saneamento_inadequado;Taxa_urbanizacao;Gini;CoberturaESF;CoberturaAB;Inc_tb22;mort_tb22;prop_cont22;populacao_residente
430692;ENGENHO VELHO;73.33;30.8;15.73;521;9.7;3.1;27502.11;1.62;39.23;0.5607;0;0;0;0;0;932
430693;ENTRE-IJUIS;50.83;29.84;3.4;485;5.4;2.05;28768.22;17.28;54.74;0.4726;100;100;0;0;0;8350
430695;ENTRE RIOS DO SUL;90;21.95;4.01;543;8.3;1.65;71422.46;2.28;69.16;0.4537;100;100;0;0;0;2724
430697;EREBANGO;94.12;32.29;2.54;600;6.9;2.68;24632.56;14.12;65.93;0.4734;100;100;0;0;0;2978
430700;ERECHIM;0.38;12.46;0.55;786;3.3;2.8;40111.8;1.55;94.24;0.4869;58.66;88.42;27.94128609;1.862752438;96.42857361;107368
430705;ERNESTINA;96.97;22.41;0.65;575;5.3;3.12;33382.99;7.39;54.11;0.4424;100;100;0;0;0;3171
430710;HERVAL;87.3;46.06;8.12;341;7.3;6.1;12168.43;15.7;66.92;0.7019;100;100;14.69075966;0;0;6807
430720;ERVAL GRANDE;105.77;26.74;3.28;425;10.8;2.15;12624.56;15.02;52.1;0.5017;100;100;0;0;0;4780
430730;ERVAL SECO;102.82;43.72;11;315;10.5;4.85;24455.95;12.48;43.63;0.5226;100;100;14.93205929;14.93205929;100;6697
430740;ESMERALDA;75;40.47;3.94;438;8.9;3.26;39896.5;7.14;67.17;0.4829;100;100;60.77180099;0;0;3291
430745;ESPERANCA DO SUL;97.44;31.21;10.98;392;9.7;0.75;17397.23;23.86;25.79;0.431;100;100;0;0;0;2846
430750;ESPUMOSO;110.92;18.73;1.99;559;6.6;3.53;35927.37;7.76;73.04;0.496;66.4;98.34;64.12722778;12.82544613;50;15594
430755;ESTACAO;76.47;10.77;0.82;864;3.2;4.57;30428.31;2.67;85.16;0.4633;100;100;16.88048553;0;100;5924
430760;ESTANCIA VELHA;109.4;11.23;0.52;529;2.8;3.88;25258.92;0.21;97.44;0.4308;55.18;87.38;25.34508324;1.949621797;78.57142639;51292
430770;ESTEIO;69.43;15.01;1.07;393;2.4;5.95;33221.28;0.03;99.86;0.4844;62.2;87.8;64.78548431;3.599193811;43.61701965;83352
430780;ESTRELA;97;8.99;0.38;816;2.7;2.81;37041.85;0.33;84.63;0.4219;30.34;91.89;20.19094849;0;100;34669
430781;ESTRELA VELHA;110.81;31.34;7.26;459;8.6;0.4;31315.17;11.97;32.17;0.4786;94.39;94.39;0;0;0;3646
